作品编号	评委姓名	推荐等级
2022004762	王维	强烈推荐
2022004762	张飞	强烈推荐
2022004762	潘金莲	强烈推荐
2022037724	蒋晶晶	强烈推荐
2022037724	蔡旭	强烈推荐
2022037724	张俐	强烈推荐
2022036563	章习武	强烈推荐
2022036563	柳金梅	强烈推荐
2022036563	陆雅	强烈推荐
2022012759	蒋晶晶	强烈推荐
2022012759	蔡旭	强烈推荐
2022012759	张俐	强烈推荐
2022008666	郑永健	强烈推荐
2022008666	张岸	强烈推荐
2022008666	熊莹莹	强烈推荐
2022023839	王维	强烈推荐
2022023839	张飞	推荐
2022023839	潘金莲	强烈推荐
2022032429	郑永健	推荐
2022032429	张岸	强烈推荐
2022032429	熊莹莹	强烈推荐
2022044502	蒋晶晶	推荐
2022044502	蔡旭	强烈推荐
2022044502	张俐	强烈推荐
2022040832	郑永健	推荐
2022040832	张岸	强烈推荐
2022040832	熊莹莹	强烈推荐
2022009627	姚娜	推荐
2022009627	高铁塔	强烈推荐
2022009627	王文文	强烈推荐
2022008646	姚娜	强烈推荐
2022008646	高铁塔	强烈推荐
2022008646	王文文	推荐
2022038734	王晓黎	推荐
2022038734	程明远	强烈推荐
2022038734	黄新智	强烈推荐
2022038733	王晓黎	推荐
2022038733	程明远	强烈推荐
2022038733	黄新智	强烈推荐
2022032396	姚娜	强烈推荐
2022032396	高铁塔	推荐
2022032396	王文文	强烈推荐
2022033535	魏巍	推荐
2022033535	刘菊红	强烈推荐
2022033535	韩华静	强烈推荐
2022010256	王维	强烈推荐
2022010256	张飞	推荐
2022010256	潘金莲	推荐
2022043803	姚娜	推荐
2022043803	高铁塔	强烈推荐
2022043803	王文文	推荐
2022043818	夏鸿声	强烈推荐
2022043818	许娟娟	不推荐
2022043818	唐仁轨	强烈推荐
2022009807	曹超	推荐
2022009807	鲁智仁	推荐
2022009807	魏青云	强烈推荐
2022042895	程红世	强烈推荐
2022042895	牛紫气	推荐
2022042895	王大伟	推荐
2022022206	刘晓东	推荐
2022022206	李美吉	强烈推荐
2022022206	张鸣	推荐
2022021374	魏巍	推荐
2022021374	刘菊红	推荐
2022021374	韩华静	强烈推荐
2022013148	刘晓东	推荐
2022013148	李美吉	推荐
2022013148	张鸣	强烈推荐
2022002221	章力	强烈推荐
2022002221	刘明智	推荐
2022002221	陈莞尔	推荐
2022004205	王维	推荐
2022004205	张飞	强烈推荐
2022004205	潘金莲	推荐
2022002450	曹超	推荐
2022002450	鲁智仁	推荐
2022002450	魏青云	强烈推荐
2022043837	蒋晶晶	推荐
2022043837	蔡旭	推荐
2022043837	张俐	强烈推荐
2022044685	章力	强烈推荐
2022044685	刘明智	推荐
2022044685	陈莞尔	推荐
2022033171	章力	强烈推荐
2022033171	刘明智	推荐
2022033171	陈莞尔	推荐
2022042859	程红世	推荐
2022042859	牛紫气	推荐
2022042859	王大伟	强烈推荐
2022007435	姚娜	强烈推荐
2022007435	高铁塔	推荐
2022007435	王文文	推荐
2022039962	章力	强烈推荐
2022039962	刘明智	不推荐
2022039962	陈莞尔	强烈推荐
2022011337	夏鸿声	强烈推荐
2022011337	许娟娟	推荐
2022011337	唐仁轨	推荐
2022033892	章力	强烈推荐
2022033892	刘明智	推荐
2022033892	陈莞尔	推荐
2022026446	章力	强烈推荐
2022026446	刘明智	推荐
2022026446	陈莞尔	推荐
2022024836	魏巍	强烈推荐
2022024836	刘菊红	推荐
2022024836	韩华静	推荐
2022007669	夏鸿声	强烈推荐
2022007669	许娟娟	不推荐
2022007669	唐仁轨	强烈推荐
2022036545	章力	强烈推荐
2022036545	刘明智	推荐
2022036545	陈莞尔	推荐
2022004833	王维	强烈推荐
2022004833	张飞	推荐
2022004833	潘金莲	推荐
2022035468	姚娜	推荐
2022035468	高铁塔	推荐
2022035468	王文文	强烈推荐
2022008933	王晓黎	不推荐
2022008933	程明远	强烈推荐
2022008933	黄新智	强烈推荐
2022006784	王维	强烈推荐
2022006784	张飞	推荐
2022006784	潘金莲	推荐
2022004742	蒋晶晶	强烈推荐
2022004742	蔡旭	推荐
2022004742	张俐	推荐
2022005182	程红世	推荐
2022005182	牛紫气	推荐
2022005182	王大伟	强烈推荐
2022035133	魏巍	强烈推荐
2022035133	刘菊红	不推荐
2022035133	韩华静	强烈推荐
2022037540	王晓黎	推荐
